# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35748
#@/user_id	snylonue-home-win10
a 	啊	c=59 d=2.98056 t=35748
a a a a 	啊啊啊啊	c=0 d=0.1 t=5817
a bao song lu te 	啊报送鲁特	c=1 d=1 t=23587
a dui 	啊对	c=1 d=1 t=13360
a gen ting 	阿根廷	c=1 d=1 t=7309
a gen ting ren 	阿根廷人	c=1 d=1 t=28433
a ka 	阿卡	c=0 d=0.19802 t=5817
a li yun 	阿里云	c=1 d=1 t=42
a luo bu ma 	啊罗布麻	c=1 d=1 t=24386
a ni 	阿尼	c=0 d=0.1 t=30124
ai li si 	爱莉丝	c=3 d=2.67536 t=6031
ai qing 	爱情	c=2 d=1 t=35355
ai rong yuan 	爱榕园	c=0 d=0.1 t=20880
ai wei 	艾维	c=1 d=0.122259 t=35747
ai wei kong dao 	艾维空岛	c=1 d=1 t=35748
ai xi bao 	癌细胞	c=2 d=1.76338 t=7665
an 	岸	c=1 d=1 t=10579
an 	按	c=5 d=1 t=25039
an hao 	暗号	c=3 d=1 t=19907
an ji suan 	氨基酸	c=1 d=1 t=9035
an le 	安乐	c=1 d=1 t=6576
an li shuo 	按理说	c=1 d=1 t=29834
an niu 	按钮	c=3 d=0.1 t=35277
an niu ne 	按钮呢	c=1 d=1 t=35278
an pei 	安培	c=1 d=1 t=20858
an pei li 	安培力	c=6 d=2.58411 t=18396
an quan 	安全	c=6 d=1 t=32151
an quan dai 	安全带	c=2 d=1.92312 t=30713
an quan mo shi 	安全模式	c=1 d=1 t=16842
an quan xing 	安全性	c=3 d=1 t=23919
an se 	暗色	c=1 d=1 t=9465
an shi 	暗示	c=2 d=1.36422 t=33898
an suan 	暗算	c=1 d=1 t=25628
an wei 	安慰	c=1 d=1 t=4672
an xin 	安心	c=0 d=0.1 t=7930
an xu jia zai 	按需加载	c=1 d=1 t=26993
an yu 	安于	c=1 d=1 t=10892
an yu 	暗喻	c=1 d=1 t=10616
an zhi 	安置	c=1 d=1 t=6866
an zhuang 	安装	c=8 d=1.55264 t=35748
an zhuang bao 	安装包	c=1 d=1 t=15453
an zhuo 	安卓	c=1 d=1 t=3085
ang 	昂	c=0 d=0.1 t=17804
ao 	傲	c=1 d=1 t=26798
ao jiao 	傲娇	c=2 d=1.00314 t=30850
ao lin pi ke 	奥林匹克	c=1 d=1 t=5066
ao men 	澳门	c=1 d=1 t=30976
ao shu 	奥术	c=2 d=1.0298 t=5826
ao shu shen zuo 	奥术神座	c=1 d=1 t=5446
ao si ka 	奥斯卡	c=0 d=0.1 t=5818
ao teng 	奥腾	c=1 d=1 t=26797
ao tian 	傲天	c=0 d=0.1 t=16579
ao tu 	凹凸	c=1 d=1 t=9414
ao you 	遨游	c=1 d=1 t=7892
ba 	吧	c=191 d=1.04678 t=35748
ba 	把	c=145 d=2.51917 t=35748
ba 	爸	c=0 d=0.1 t=29006
ba da yin ji 	把打印机	c=1 d=1 t=2111
ba dai li 	把代理	c=1 d=1 t=1876
ba le 	罢了	c=2 d=1 t=30742
ba luo ke 	巴洛克	c=7 d=1.27943 t=17645
ba ni de 	把你的	c=1 d=1 t=16059
ba qian 	八千	c=0 d=0.1 t=12164
ba qian qian 	八千钱	c=1 d=1 t=12165
ba ren 	把人	c=1 d=1 t=22198
ba ta 	把他	c=2 d=1 t=23800
ba ta 	把它	c=2 d=1 t=35200
ba wan 	拔完	c=2 d=1.9802 t=877
ba wo 	把我	c=1 d=1 t=34813
ba zhe ge 	把这个	c=1 d=0.255381 t=35748
ba zi 	靶子	c=1 d=1 t=16483
bai 	拜	c=0 d=0.1 t=23109
bai 	摆	c=2 d=0.1 t=26539
bai 	白	c=2 d=0.1 t=33828
bai 	败	c=1 d=1 t=31937
bai bai 	白白	c=1 d=1 t=6573
bai du 	百度	c=2 d=1 t=13597
bai du wang pan 	百度网盘	c=2 d=1 t=26620
bai du yun 	百度云	c=3 d=1.99501 t=6497
bai fa 	白发	c=1 d=1.07531 t=1699
bai gei 	白给	c=1 d=1 t=6844
bai gong 	白宫	c=2 d=1.01561 t=33674
bai he 	百合	c=3 d=0.1 t=33249
bai he ben 	百合本	c=1 d=1 t=19944
bai he ling 	百合玲	c=1 d=1 t=33250
bai jia zheng ming 	百家争鸣	c=1 d=1 t=14249
bai jian 	白简	c=1 d=1 t=3512
bai jin 	拜金	c=1 d=1 t=11140
bai ju yi 	白居易	c=1 d=1 t=8594
bai juan 	白娟	c=1 d=1 t=8401
bai lan 	摆烂	c=7 d=1.00001 t=26973
bai lan le 	摆烂了	c=1 d=1 t=17198
bai mao 	白毛	c=1 d=1 t=29963
bai ming dan 	白名单	c=2 d=1 t=28115
bai na mu 	拜纳姆	c=1 d=1 t=1593
bai nian 	百年	c=0 d=0.1 t=35415
bai nian chang 	百年长	c=1 d=1 t=35416
bai pi 	白皮	c=1 d=0.1 t=18769
bai pi juan 	白皮卷	c=1 d=1 t=18770
bai piao 	白嫖	c=3 d=0.591555 t=35748
bai piao xuan xiang 	白嫖选项	c=1 d=1 t=28399
bai ping 	白屏	c=1 d=1 t=31964
bai quan 	败犬	c=5 d=1.99016 t=23142
bai sha 	白沙	c=0 d=0.0650509 t=35748
bai sha de shui zu guan 	白沙的水族馆	c=1 d=0.65377 t=35748
bai ti xing 	白提醒	c=1 d=1 t=33829
bai tian 	白天	c=3 d=1 t=33774
bai tuo 	摆脱	c=3 d=1 t=28891
bai tuo le 	摆脱了	c=1 d=1 t=5792
bai xia 	白瞎	c=1 d=1 t=24533
bai xian 	摆线	c=1 d=1 t=21675
bai xiang 	白箱	c=2 d=1.62189 t=1197
bai xue 	白学	c=0 d=0.1 t=15019
bai xue le 	白学了	c=1 d=1 t=15020
bai yi bai 	拜一拜	c=1 d=1 t=23110
bai yun 	白云	c=1 d=1 t=1525
bai zai 	摆在	c=0 d=0.1 t=20203
bai zai na 	摆在那	c=1 d=1 t=20204
ban 	办	c=16 d=0.729789 t=35748
ban 	半	c=2 d=1.00233 t=17773
ban 	拌	c=1 d=1 t=29605
ban 	版	c=10 d=0.102166 t=33995
ban 	班	c=1 d=1 t=13863
ban ben 	版本	c=11 d=1.00001 t=35480
ban ben hao 	版本号	c=0 d=0.0740818 t=35748
ban cheng pin 	半成品	c=2 d=1 t=21803
ban dao 	搬到	c=1 d=1 t=26102
ban duan 	半段	c=1 d=1 t=6321
ban fa 	办法	c=3 d=0.1 t=35121
ban fa le 	办法了	c=1 d=1 t=35122
ban fo 	半佛	c=3 d=1.59212 t=31767
ban guo lai 	搬过来	c=1 d=1 t=14322
ban hui 	班会	c=1 d=1 t=24452
ban ji 	班级	c=0 d=0.1 t=27483
ban ji qun 	班级群	c=1 d=1 t=27484
ban jiao 	半角	c=1 d=0.828399 t=35748
ban ke 	半颗	c=1 d=1 t=297
ban nian lai 	半年来	c=1 d=1 t=7124
ban qi 	搬起	c=1 d=0.1 t=26335
ban qi shi tou 	搬起石头	c=1 d=1 t=26336
ban quan fa 	版权法	c=1 d=1 t=21315
ban shang 	班上	c=1 d=1 t=27480
ban sui 	伴随	c=1 d=1 t=33267
ban sui zhe 	伴随着	c=3 d=1.54133 t=17741
ban tian 	半天	c=2 d=0.0808629 t=35748
ban xiao shi 	半小时	c=3 d=1 t=18728
ban you 	班友	c=2 d=1.70822 t=27376
ban zhe 	伴着	c=1 d=1 t=1477
ban zi 	板子	c=1 d=1 t=22467
bang 	帮	c=1 d=1.09704 t=24417
bang 	棒	c=1 d=0.224249 t=35748
bang bang 	棒棒	c=1 d=1 t=27826
bang de ren 	帮的人	c=1 d=1 t=24412
bang ding 	绑定	c=2 d=1 t=9928
bang du 	棒读	c=2 d=1 t=26465
bang mang 	帮忙	c=1 d=1 t=14011
bang ni 	帮你	c=1 d=1 t=3329
bang shang 	榜上	c=0 d=0.1 t=34300
bang wo 	帮我	c=7 d=0.12493 t=35748
bang wo men 	帮我们	c=1 d=1 t=4168
bang zhu 	帮助	c=2 d=1 t=19401
bao 	包	c=2 d=1 t=31187
bao 	报	c=2 d=1 t=25764
bao chi 	保持	c=4 d=1 t=31584
bao chi zhe 	保持着	c=0 d=0.1 t=7757
bao chou 	报仇	c=1 d=1 t=10884
bao cun 	保存	c=1 d=1 t=25381
bao cuo 	报错	c=3 d=1.08958 t=34915
bao fa 	爆发	c=2 d=1 t=33521
bao gao 	报告	c=2 d=1.96561 t=31009
bao guo 	包裹	c=1 d=1 t=4895
bao he du 	饱和度	c=1 d=1 t=32273
bao hu 	保护	c=3 d=1 t=34020
bao kuo 	包括	c=6 d=0.108609 t=35748
bao kuo le 	包括了	c=1 d=1 t=14212
bao li 	暴力	c=5 d=1.00389 t=28580
bao li chu qi ji 	暴力出奇迹	c=1 d=1 t=9649
bao liu 	保留	c=3 d=1 t=25742
bao liu jie mu 	保留节目	c=2 d=1 t=29422
bao lu 	暴露	c=1 d=1 t=22930
bao lu le 	暴露了	c=1 d=1 t=13879
bao lun 	爆论	c=4 d=1.00285 t=29291
bao qian 	抱歉	c=1 d=1 t=6574
bao rong 	包容	c=1 d=1 t=28077
bao sha 	爆杀	c=1 d=1 t=27923
bao shou 	保守	c=1 d=1 t=21488
bao song 	报送	c=0 d=0.1 t=23586
bao xian xiang 	保险箱	c=1 d=1 t=23339
bao yi 	爆衣	c=1 d=1 t=13535
bao yi 	褒义	c=1 d=1 t=34289
bao yi ci 	褒义词	c=1 d=1 t=6750
bao ying 	报应	c=1 d=1 t=7959
bao yuan 	抱怨	c=1 d=1 t=3717
bao zhe 	抱着	c=1 d=1 t=24771
bao zheng 	保证	c=3 d=1 t=33097
bao zhuang 	包装	c=4 d=0.189191 t=35748
bao zou 	抱走	c=1 d=1 t=15703
bei 	倍	c=1 d=1 t=6842
bei 	背	c=3 d=1 t=22905
bei 	被	c=85 d=1.28564 t=35062
bei can 	悲惨	c=1 d=1 t=12969
bei can de 	悲惨的	c=1 d=1 t=10299
bei cheng 	背城	c=1 d=1 t=3523
bei cheng wei 	被称为	c=1 d=1 t=21955
bei chou 	悲愁	c=1 d=1 t=14663
bei dan ci 	背单词	c=2 d=1 t=26976
bei dong 	被动	c=1 d=1 t=10294
